final_capital,total_return_pct,ann_sharpe,max_drawdown_pct,num_trades,win_rate,avg_pnl,profit_factor,avg_pnl_ci_l,avg_pnl_ci_u,prob_threshold,threshold_pct,atr_multiplier_stop,risk_per_trade,input_chunk_length,use_wavelet,use_vol_sizing,num_blocks,num_layers,layer_widths,grid_idx
993.1586907545667,-0.6841309245433358,-20.59652295874725,-0.6565732848634632,399,0.007518796992481203,-0.017146138459732913,0.04809135822017811,-0.024984689405126544,-0.009782556012953683,0.95,0.01,1.5,0.005,72,False,True,3,3,128,1
993.1586907545667,-0.6841309245433358,-20.59652295874725,-0.6565732848634632,399,0.007518796992481203,-0.017146138459732913,0.04809135822017811,-0.02548452767416964,-0.009869690999857255,0.85,0.01,1.5,0.005,72,True,True,3,3,128,2
994.0620757385291,-0.5937924261470884,-20.0265681200447,-0.5816493348819844,399,0.010025062656641603,-0.014882015692909296,0.056766500189050516,-0.021938562197431913,-0.008881508185818673,0.95,0.005,2.0,0.01,72,True,True,2,3,128,3
993.5760532415067,-0.6423946758493337,-17.641789382261077,-0.6423130619498671,399,0.010025062656641603,-0.016100117189206363,0.06775396182335115,-0.024669771562693815,-0.008642325421103245,0.85,0.01,2.5,0.01,72,False,False,3,4,128,4
994.2473917527302,-0.5752608247269753,-19.00874476250041,-0.5716031820529324,399,0.012531328320802004,-0.014417564529498477,0.07718801296292274,-0.021838994202037092,-0.008016194991159669,0.9,0.01,2.0,0.005,48,True,False,2,3,128,5
993.4951929519914,-0.6504807048008598,-20.529527922746425,-0.6383445383642742,399,0.007518796992481203,-0.016302774556412533,0.050480467862945785,-0.02367103354640004,-0.008916541518631766,0.85,0.005,2.0,0.01,48,True,False,2,4,128,6
994.3995230332448,-0.5600476966755141,-16.16398237003442,-0.5324556270408449,399,0.010025062656641603,-0.014036283124700408,0.1310664676092428,-0.021892280053642688,-0.006393908364923448,0.85,0.01,1.5,0.005,48,False,False,2,4,128,7
994.536460849816,-0.5463539150184049,-15.053686582381815,-0.5187580457059504,399,0.012531328320802004,-0.013693080576902604,0.14079918948794565,-0.022052293524042255,-0.00585504015357714,0.9,0.01,1.5,0.005,72,True,False,2,3,128,8
993.7021865275725,-0.6297813472427527,-19.467424868062313,-0.6022086269309349,399,0.010025062656641603,-0.015783993665232244,0.0592042567929004,-0.022903212042234625,-0.009411292160320538,0.85,0.01,1.5,0.01,72,False,False,2,4,128,9
994.3827926932308,-0.5617207306769179,-19.19775161641616,-0.5426193118193405,399,0.012531328320802004,-0.014078213801426244,0.07891476783412585,-0.021141816121883112,-0.0074240031472984185,0.95,0.01,1.5,0.005,48,False,False,2,3,128,10
993.0760266370235,-0.6923973362976565,-21.054175680493596,-0.6648419903378001,399,0.007518796992481203,-0.01735331669918874,0.047555151747250515,-0.0247590201852367,-0.010735671316575426,0.95,0.005,1.5,0.01,72,True,False,2,4,64,11
992.934502056743,-0.706549794325706,-19.72366386008069,-0.6789983753147083,399,0.007518796992481203,-0.01770801489538119,0.046613219368419424,-0.02659901675802506,-0.01045488111356475,0.85,0.005,1.5,0.005,72,False,True,3,3,128,12
994.0384762711894,-0.5961523728810536,-20.471802058788633,-0.5685703213801088,399,0.010025062656641603,-0.014941162227595903,0.05656862217523653,-0.021276453392211427,-0.008925787968663966,0.9,0.005,1.5,0.01,72,False,False,2,3,128,13
994.0384762711894,-0.5961523728810536,-20.471802058788633,-0.5685703213801088,399,0.010025062656641603,-0.014941162227595903,0.05656862217523653,-0.021663571148931013,-0.008890489695894515,0.85,0.005,1.5,0.005,72,True,False,2,3,128,14
994.5075755099105,-0.5492424490089576,-19.224285856580867,-0.5216473811915665,399,0.012531328320802004,-0.013765474912504936,0.08413553751237678,-0.019740450176392532,-0.007759376328734524,0.95,0.005,1.5,0.005,48,True,True,3,3,64,15
994.3397934852081,-0.5660206514791821,-19.219209186601592,-0.5538741677177484,399,0.012531328320802004,-0.014185981240080072,0.08183440574997901,-0.020914053295398166,-0.007862859627164969,0.95,0.005,2.0,0.01,48,False,True,3,3,64,16
993.6760447507869,-0.6323955249213142,-19.4615054803229,-0.6048235299776286,399,0.007518796992481203,-0.015849511902789878,0.05181552624471771,-0.023502553334513003,-0.009014931007557122,0.95,0.01,1.5,0.005,72,False,False,3,4,128,17
993.2990878375482,-0.6700912162451833,-21.50550243931571,-0.6425296809016477,399,0.007518796992481203,-0.01679426607130802,0.04907536559172008,-0.024570647181253447,-0.009784661959996319,0.9,0.005,1.5,0.005,72,False,False,2,3,64,18
994.8931759051992,-0.5106824094800788,-16.98470448734705,-0.5190928822779729,399,0.015037593984962405,-0.012799057881705714,0.10559388135750393,-0.01998238475507462,-0.006619553097446205,0.95,0.005,2.5,0.005,72,False,False,2,4,128,19
993.3501749305323,-0.6649825069467763,-18.922257052582207,-0.6528481119962061,399,0.007518796992481203,-0.016666228244280355,0.049411658489665465,-0.025425828306205732,-0.008994892360089525,0.95,0.005,2.0,0.005,48,False,False,3,4,128,20
993.363238502867,-0.6636761497132992,-18.75224271057561,-0.6515415951830054,399,0.010025062656641603,-0.01663348746148624,0.056349014420850524,-0.024129653721074475,-0.008800211731556758,0.85,0.005,2.0,0.01,48,False,False,2,3,128,21
994.021070803012,-0.5978929196988059,-19.633215858527564,-0.5703113511555379,399,0.007518796992481203,-0.014984784954857508,0.05465773651523197,-0.022023513156516867,-0.007848505048023707,0.9,0.01,1.5,0.005,48,True,False,3,3,64,22
993.4817643359762,-0.6518235664023764,-18.39930532153462,-0.6396875640047526,399,0.012531328320802004,-0.01633643023564961,0.054275568104975594,-0.025422192011352727,-0.009118162295776175,0.85,0.01,2.0,0.005,48,False,True,3,4,128,23
993.5890994584541,-0.6410900541545805,-20.279944724216126,-0.6135204717226814,399,0.007518796992481203,-0.01606741990362374,0.0511846394517165,-0.022740148140808904,-0.009302362954891586,0.95,0.005,1.5,0.01,48,True,False,2,4,128,24
993.3501749305323,-0.6649825069467763,-18.922257052582207,-0.6528481119962061,399,0.007518796992481203,-0.016666228244280355,0.049411658489665465,-0.02624123415915877,-0.008040367981291251,0.85,0.005,2.0,0.01,48,True,False,3,4,128,25
993.7385657434088,-0.6261434256591203,-18.998629418115517,-0.5985696959161533,399,0.010025062656641603,-0.015692817685692247,0.059536160636097527,-0.02314707015186872,-0.008513019566374513,0.85,0.005,1.5,0.005,48,False,False,2,3,128,26
994.0605859469822,-0.5939414053017789,-19.591532568241853,-0.5817983322354092,399,0.010025062656641603,-0.014885749506309706,0.0625840775224845,-0.021124980234755203,-0.008206557677832325,0.85,0.01,2.0,0.005,48,False,False,3,4,64,27
993.0484463645417,-0.6951553635458296,-20.06539551263676,-0.6830246543987939,399,0.007518796992481203,-0.017422440189118284,0.04733753036111397,-0.025627395326530883,-0.009958225417060415,0.85,0.01,2.0,0.01,48,False,False,2,3,64,28
994.7056060530487,-0.5294393946951303,-17.326786632165913,-0.5293576880124231,399,0.012531328320802004,-0.01326915776178309,0.08294323292775975,-0.020502371381093235,-0.006663964387435341,0.9,0.005,2.5,0.01,48,True,True,2,4,64,29
995.0373047509646,-0.4962695249035365,-17.433064214555618,-0.5046812161154006,399,0.015037593984962405,-0.012437832704348943,0.10832388914258399,-0.01953993975553304,-0.006554579961318816,0.9,0.01,2.5,0.01,48,True,False,2,3,128,30
